,name,website,reviews_score,reviews_amount,phone,googlemaps_link,category,zone
2,IMPRONTA Estampados y Sublimados,0,5.0,134.0,03517664984,"https://www.google.com/maps/place/IMPRONTA+Estampados+y+Sublimados/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299915cfdde8b:0x9b178cb076fe30d5!8m2!3d-31.3830253!4d-64.1682051!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBEWZhYnJpY193aG9sZXNhbGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVExY1dSWWQxOTNSUkFC4AEA!16s%2Fg%2F11q8xc28f3?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
3,ConVar Sublimación y Estampados,0,1.0,1.0,03517544354,"https://www.google.com/maps/place/ConVar+Sublimaci%C3%B3n+y+Estampados/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a338c49dafcf:0x1b682e7a83259eb6!8m2!3d-31.3994532!4d-64.1942124!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFGN1c3RvbV90X3NoaXJ0X3N0b3Jl4AEA!16s%2Fg%2F11grv51pvh?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
6,FR Insumos y Estampados,0,5.0,7.0,03512105799,"https://www.google.com/maps/place/FR+Insumos+y+Estampados/@-31.4222166,-64.4894671,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432bd14f8e94515:0xf9c6e156ba6b2b90!8m2!3d-31.4308579!4d-64.1226713!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBDnNjcmVlbl9wcmludGVy4AEA!16s%2Fg%2F11gsn0tg31?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
7,ESTAMPADOS CBA,0,5.0,2.0,03517690317,"https://www.google.com/maps/place/ESTAMPADOS+CBA/@-31.325736,-64.5582572,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329da78c814b99:0xa877a85d1d93fd06!8m2!3d-31.325736!4d-64.2698661!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFHNjcmVlbl9wcmludGluZ19zaG9w4AEA!16s%2Fg%2F11ry56fj02?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
8,Romero Serigrafia,0,4.1,11.0,03515377762,"https://www.google.com/maps/place/Romero+Serigrafia/@-31.325736,-64.5582572,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3abdce717db:0x99d3b5fc34707df1!8m2!3d-31.4217676!4d-64.1921663!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFHNjcmVlbl9wcmludGluZ19zaG9w4AEA!16s%2Fg%2F11g6wbwjwx?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
9,Queen Sublimados,0,5.0,6.0,03543613005,"https://www.google.com/maps/place/Queen+Sublimados/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432995c271f3ab1:0x14628da86dc3467!8m2!3d-31.4073015!4d-64.1785731!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFGN1c3RvbV90X3NoaXJ0X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YYUUxRU1XNVJSUkFC4AEA!16s%2Fg%2F11p4bqqc25?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
10,RGB Sublimaciones,0,5.0,12.0,03518645625,"https://www.google.com/maps/place/RGB+Sublimaciones/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299a5c41b3b53:0xa29a03569b92aecc!8m2!3d-31.4032811!4d-64.1934156!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCWdpZnRfc2hvcOABAA!16s%2Fg%2F11hr21bq6t?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
11,Juli insumos de sublimación,0,4.7,6.0,0,"https://www.google.com/maps/place/Juli+insumos+de+sublimaci%C3%B3n/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x94329d8ff38cb38b:0x3a5726b81df20ae!8m2!3d-31.3270055!4d-64.2528424!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBDWdlbmVyYWxfc3RvcmXgAQA!16s%2Fg%2F11jm9fm844?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
13,Jasa Sublimación Digital,0,3.9,82.0,08002205272,"https://www.google.com/maps/place/Jasa+Sublimaci%C3%B3n+Digital/@-31.3270055,-64.5412335,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x942d668a5009aa29:0xbb21ba59ca0adade!8m2!3d-31.412342!4d-64.1791952!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCndob2xlc2FsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhOMDh5UzJWbkVBReABAA!16s%2Fg%2F11bw51nmdw?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
15,UP! Sublimaciones,0,5.0,11.0,03517599609,"https://www.google.com/maps/place/UP!+Sublimaciones/@-31.412342,-64.4675863,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a33e8c1327db:0x47f06ec616bd4312!8m2!3d-31.445276!4d-64.2381088!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBDnNjcmVlbl9wcmludGVy4AEA!16s%2Fg%2F11sp7h5v56?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
18,Sublimaciones Vatetita,0,4.0,4.0,03516246463,"https://www.google.com/maps/place/Sublimaciones+Vatetita/@-31.3782123,-64.4373269,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299f71768ee3b:0xebbe6cc47b05a404!8m2!3d-31.4014965!4d-64.2396308!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBFGN1c3RvbV90X3NoaXJ0X3N0b3Jl4AEA!16s%2Fg%2F11gyyc0nmd?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
20,LyD sublimacion estampados,0,,,03512215759,"https://www.google.com/maps/place/LyD+sublimacion+estampados/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a328897f1ac1:0x12b1e5dd01b4c691!8m2!3d-31.4463462!4d-64.193692!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBEGdyYXBoaWNfZGVzaWduZXLgAQA!16s%2Fg%2F11ssjw9fgc?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
21,Sublicor Insumos de Sublimación,0,4.3,58.0,03512137166,"https://www.google.com/maps/place/Sublicor+Insumos+de+Sublimaci%C3%B3n/@-31.4014965,-64.5280219,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x943299b6d679a55d:0x13c09fa6d9d3bc61!8m2!3d-31.4122346!4d-64.1992209!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBCWdpZnRfc2hvcOABAA!16s%2Fg%2F11hdjcn3q0?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
23,Bfa Integral Sublimacion,0,4.8,6.0,0,"https://www.google.com/maps/place/Bfa+Integral+Sublimacion/@-31.375347,-64.4398241,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432985b491646c5:0xc4bad604cbc49fa!8m2!3d-31.3846039!4d-64.183649!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBBXN0b3Jl4AEA!16s%2Fg%2F11hyl568tk?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
24,Suburbana |Estampado y sublimación |,0,5.0,8.0,01127781566,"https://www.google.com/maps/place/Suburbana+%7CEstampado+y+sublimaci%C3%B3n+%7C/@-34.8450485,-58.8051956,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x95bcd1e07e31b2fd:0x777cba6fd4422ec1!8m2!3d-34.8450485!4d-58.5168045!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb5IBDG1hbnVmYWN0dXJlcuABAA!16s%2Fg%2F11nyn49pwg?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
25,Sum.er Sublimación y Diseño,0,4.6,21.0,0351156430552,"https://www.google.com/maps/place/Sum.er+Sublimaci%C3%B3n+y+Dise%C3%B1o/@-31.3144565,-64.547127,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a3c45e416ebf:0x39457f80c3f059b4!8m2!3d-31.3144565!4d-64.2587359!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBDmNsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11h23hv1_9?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
